user_id,signup_date,country,platform,app_version,plan
u_00001,2024-10-14,IN,Android,3.2.0,free
u_00002,2025-03-09,NG,iOS,3.4.0,pro
u_00003,2026-03-14,US,Android,3.3.1,free
u_00004,2024-09-08,DE,Android,3.4.0,free
u_00005,2025-08-28,IN,iOS,3.0.5,free
u_00006,2026-01-30,ID,Web,3.2.0,free
u_00007,2026-04-13,UK,Android,3.3.1,free
u_00008,2025-03-08,IN,Android,3.0.5,free
u_00009,2026-03-06,US,Android,3.2.0,free
u_00010,2024-11-08,IN,Web,3.2.0,free
u_00011,2025-09-08,IN,iOS,3.2.0,free
u_00012,2025-01-10,BR,Android,3.3.1,free
u_00013,2026-01-12,IN,Android,3.2.0,free
u_00014,2026-01-31,DE,Android,3.3.1,free
u_00015,2024-09-08,ID,Android,3.3.1,free
u_00016,2026-02-09,IN,iOS,3.3.1,free
u_00017,2025-05-28,IN,Android,3.4.0,pro
u_00018,2024-11-24,IN,iOS,3.3.1,free
u_00019,2025-02-22,DE,Android,3.3.1,free
u_00020,2025-09-06,US,Android,3.3.1,free
u_00021,2025-08-31,IN,iOS,3.4.0,free
u_00022,2024-07-29,IN,Android,3.4.0,free
u_00023,2025-09-18,US,Android,3.4.0,pro
u_00024,2025-05-01,IN,Android,3.4.0,free
u_00025,2026-06-17,IN,Android,3.3.1,free
u_00026,2025-09-15,ID,Web,3.3.1,pro
u_00027,2026-04-11,IN,Web,3.3.1,free
u_00028,2024-11-05,IN,Web,3.3.1,free
u_00029,2025-11-17,BR,Android,3.3.1,free
u_00030,2026-06-23,ID,Android,3.2.0,enterprise
u_00031,2025-10-03,IN,Android,3.4.0,free
u_00032,2026-04-11,IN,Android,3.4.0,free
u_00033,2024-11-10,NG,Android,3.0.5,pro
u_00034,2025-04-04,IN,Android,3.3.1,free
u_00035,2025-09-19,US,iOS,3.4.0,free
u_00036,2025-07-02,US,Web,3.3.1,enterprise
u_00037,2025-01-24,IN,iOS,3.3.1,pro
u_00038,2024-11-06,IN,Android,3.4.0,free
u_00039,2026-02-15,IN,iOS,3.4.0,free
u_00040,2024-07-19,IN,Android,3.0.5,free
u_00041,2026-06-18,IN,iOS,3.4.0,free
u_00042,2024-07-20,IN,iOS,3.4.0,free
u_00043,2024-10-05,UK,Android,3.3.1,free
u_00044,2026-01-12,IN,Android,3.3.1,pro
u_00045,2025-01-24,ID,Android,3.0.5,free
u_00046,2026-06-17,US,Web,3.4.0,free
u_00047,2025-12-08,ID,Android,3.0.5,free
u_00048,2026-03-06,US,iOS,3.3.1,pro
u_00049,2025-06-18,DE,Android,3.4.0,free
u_00050,2025-05-07,IN,iOS,3.3.1,free
u_00051,2026-01-26,IN,Android,3.2.0,pro
u_00052,2025-12-15,BR,Android,3.4.0,free
u_00053,2026-06-20,IN,Android,3.3.1,free
u_00054,2025-03-07,US,Web,3.2.0,pro
u_00055,2026-04-05,IN,iOS,3.2.0,free
u_00056,2024-08-30,IN,Android,3.3.1,free
u_00057,2026-04-17,IN,iOS,3.3.1,free
u_00058,2025-03-14,DE,Android,3.0.5,free
u_00059,2025-12-22,IN,Android,3.4.0,free
u_00060,2026-01-05,IN,Android,3.4.0,free
u_00061,2025-04-23,US,Android,3.0.5,free
u_00062,2025-05-12,US,Android,3.4.0,free
u_00063,2026-03-07,IN,iOS,3.3.1,free
u_00064,2024-10-26,ID,iOS,3.4.0,pro
u_00065,2025-03-17,US,iOS,3.4.0,free
u_00066,2024-12-07,NG,Web,3.4.0,free
u_00067,2026-03-26,DE,iOS,3.4.0,free
u_00068,2024-12-30,IN,Web,3.4.0,enterprise
u_00069,2026-03-12,US,Android,3.4.0,pro
u_00070,2025-05-26,US,Android,3.4.0,free
u_00071,2026-06-18,US,iOS,3.0.5,free
u_00072,2026-04-13,NG,iOS,3.2.0,free
u_00073,2026-01-12,IN,Android,3.3.1,free
u_00074,2026-06-18,IN,Android,3.3.1,free
u_00075,2024-08-12,IN,iOS,3.4.0,free
u_00076,2025-01-09,IN,iOS,3.4.0,free
u_00077,2026-06-22,ID,iOS,3.0.5,pro
u_00078,2024-11-20,US,Android,3.2.0,free
u_00079,2026-01-14,US,Android,3.4.0,enterprise
u_00080,2024-10-28,US,Web,3.4.0,free
u_00081,2025-07-30,IN,iOS,3.2.0,free
u_00082,2026-01-26,IN,Android,3.3.1,free
u_00083,2025-05-28,ID,iOS,3.0.5,free
u_00084,2026-06-17,UK,Android,3.4.0,free
u_00085,2025-01-26,IN,Android,3.2.0,pro
u_00086,2025-09-29,IN,Android,3.4.0,pro
u_00087,2024-10-05,ID,iOS,3.0.5,free
u_00088,2025-01-15,DE,iOS,3.3.1,pro
u_00089,2025-08-10,BR,Android,3.3.1,free
u_00090,2026-04-22,ID,iOS,3.4.0,free
u_00091,2025-04-07,BR,iOS,3.4.0,pro
u_00092,2025-11-26,IN,Android,3.0.5,free
u_00093,2025-06-29,ID,Android,3.0.5,free
u_00094,2024-08-01,NG,Android,3.4.0,free
u_00095,2026-06-22,US,iOS,3.3.1,pro
u_00096,2025-12-14,DE,iOS,3.0.5,free
u_00097,2026-03-19,IN,Android,3.4.0,pro
u_00098,2025-06-29,US,Android,3.3.1,pro
u_00099,2025-10-25,US,Android,3.4.0,free
u_00100,2025-02-10,ID,Web,3.4.0,free
u_00101,2024-11-10,ID,Android,3.2.0,free
u_00102,2024-09-29,BR,iOS,3.2.0,enterprise
u_00103,2024-08-31,IN,Android,3.3.1,free
u_00104,2025-03-14,NG,Android,3.4.0,free
u_00105,2026-01-30,US,Android,3.0.5,free
u_00106,2024-12-08,ID,Android,3.4.0,free
u_00107,2025-10-13,US,iOS,3.4.0,free
u_00108,2026-06-21,ID,Android,3.2.0,pro
u_00109,2025-07-30,BR,iOS,3.4.0,free
u_00110,2025-05-19,US,Android,3.4.0,pro
u_00111,2025-07-22,IN,iOS,3.4.0,enterprise
u_00112,2026-01-17,NG,iOS,3.2.0,free
u_00113,2026-06-21,US,iOS,3.0.5,pro
u_00114,2025-03-01,NG,iOS,3.4.0,enterprise
u_00115,2025-09-07,UK,iOS,3.2.0,pro
u_00116,2025-08-09,IN,Android,3.3.1,free
u_00117,2026-06-20,IN,Android,3.3.1,enterprise
u_00118,2025-08-01,DE,iOS,3.0.5,free
u_00119,2025-06-10,UK,Web,3.4.0,enterprise
u_00120,2026-03-11,UK,iOS,3.3.1,free
u_00121,2026-01-04,NG,Android,3.3.1,free
u_00122,2025-10-12,IN,iOS,3.4.0,free
u_00123,2024-09-04,UK,iOS,3.0.5,free
u_00124,2024-08-01,UK,Android,3.0.5,free
